[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353 22731 22766 I appium  : method: 'xpath', selector: '/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.RelativeLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.view.ViewGroup[2]', contextId: ''
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354 22731 22766 I appium  : Waiting up to 10000ms for device to be idle
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.355  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.356  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.357  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.358  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10022, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.359  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.360  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5023, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.360  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5011, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.360  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 5011, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
